id,latitude,longitude,bedrooms,beds,price,host_is_superhost,number_of_reviews,review_scores_rating,instant_bookable,minimum_minimum_nights,calculated_host_listings_count,bathrooms,wifi,hot tub,kitchen,tv,coffee,washer,dryer,backyard,pets allowed,workspace,pool,fire pit,bbq,ac,free parking,dishwasher,gym,self check-in,stove,view,patio,crib,total_amenities,rho,theta,downtown,long_stays_only,log_price,max_guests,bedroom_and_bath,baths_per_bedroom,max_guests_sq,max_guests_cu,bathrooms_sq,bathrooms_cu,beds_sq,beds_cu,bedrooms_sq,bedrooms_cu,bedroom_and_bath_sq,bedroom_and_bath_cu,baths_per_bedroom_sq,baths_per_bedroom_cu,three_plus_listings,listing_type_apt,listing_type_guest_suite,listing_type_house,listing_type_private_room,listing_type,listing_type_apt_max_guests,listing_type_guest_suite_max_guests,listing_type_house_max_guests,listing_type_private_room_max_guests,listing_type_apt_bedrooms,listing_type_guest_suite_bedrooms,listing_type_house_bedrooms,listing_type_private_room_bedrooms,listing_type_apt_bathrooms,listing_type_guest_suite_bathrooms,listing_type_house_bathrooms,listing_type_private_room_bathrooms,listing_type_apt_ac,listing_type_guest_suite_ac,listing_type_house_ac,listing_type_private_room_ac,listing_type_apt_kitchen,listing_type_guest_suite_kitchen,listing_type_house_kitchen,listing_type_private_room_kitchen,listing_type_apt_pets allowed,listing_type_guest_suite_pets allowed,listing_type_house_pets allowed,listing_type_private_room_pets allowed,listing_type_apt_downtown,listing_type_guest_suite_downtown,listing_type_house_downtown,listing_type_private_room_downtown,no_reviews_flag
53631171,45.6756,-111.06407,3,3.0,208.0,0,33,4.79,1,1,3,2.0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,12,120.08950029176115,2.7514219183961197,0,0,2.3180633349627615,6,5.0,0.6666666666666666,36,216,4.0,8.0,9.0,27.0,9,27,25.0,125.0,0.4444444444444444,0.2962962962962963,1,1,0,0,0,apt,6,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
665301909432494038,45.68717,-111.04427,2,2.0,232.0,0,24,4.75,1,2,9,1.0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,13,120.07559036890802,2.7512700865052966,1,0,2.3654879848909,6,3.0,0.5,36,216,1.0,1.0,4.0,8.0,4,8,9.0,27.0,0.25,0.125,1,1,0,0,0,apt,6,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
917480337323963603,45.683155,-111.03163,5,7.0,520.0,1,1,5.0,1,1,26,3.5,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,12,120.06237341986426,2.751260955125732,1,0,2.716003343634799,14,8.5,0.7,196,2744,12.25,42.875,49.0,343.0,25,125,72.25,614.125,0.48999999999999994,0.3429999999999999,1,0,0,1,0,house,0,0,14,0,0,0,5,0,0.0,0.0,3.5,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
52422650,45.68682,-111.04354,2,2.0,550.0,0,3,5.0,1,3,13,2.0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,11,120.07478210450353,2.7512704689328973,1,0,2.7403626894942437,4,4.0,1.0,16,64,4.0,8.0,4.0,8.0,4,8,16.0,64.0,1.0,1.0,1,1,0,0,0,apt,4,0,0,0,2,0,0,0,2.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
631420748469080402,45.67767,-111.06021,3,3.0,280.0,1,2,5.0,0,30,4,2.5,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,14,120.08671775793107,2.7513937507166815,0,1,2.4471580313422194,6,5.5,0.8333333333333334,36,216,6.25,15.625,9.0,27.0,9,27,30.25,166.375,0.6944444444444445,0.5787037037037038,1,0,0,1,0,house,0,0,6,0,0,0,3,0,0.0,0.0,2.5,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
797809064791798577,45.67718,-111.08361,4,5.0,327.0,1,2,5.0,1,3,12,2.5,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,16,120.10817284175336,2.7514716295298522,0,0,2.514547752660286,8,6.5,0.625,64,512,6.25,15.625,25.0,125.0,16,64,42.25,274.625,0.390625,0.244140625,1,0,0,1,0,house,0,0,8,0,0,0,4,0,0.0,0.0,2.5,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
27306044,45.67608,-111.04178,0,3.0,124.0,0,6,5.0,0,31,1,1.0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,120.06906841370429,2.7513476124580865,1,1,2.093421685162235,4,1.0,1.0,16,64,1.0,1.0,9.0,27.0,0,0,1.0,1.0,1.0,1.0,0,0,0,1,0,house,0,0,4,0,0,0,0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
901660910687906881,45.67747,-111.04729,5,5.0,876.0,1,0,0.0,0,1,3,2.0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,10,120.07469292879746,2.7513543631964437,1,0,2.9425041061680806,11,7.0,0.4,121,1331,4.0,8.0,25.0,125.0,25,125,49.0,343.0,0.16000000000000003,0.06400000000000002,1,0,0,1,0,house,0,0,11,0,0,0,5,0,0.0,0.0,2.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
18309166,45.70977,-111.0797,1,2.0,150.0,1,45,4.98,0,30,1,1.0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,15,120.1169547796767,2.7512083173163755,0,1,2.1760912590556813,2,2.0,1.0,4,8,1.0,1.0,4.0,8.0,1,1,4.0,8.0,1.0,1.0,0,0,1,0,0,guest_suite,0,2,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13747912,45.67987,-111.02812,1,2.0,189.0,1,344,4.85,1,1,1,1.0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,11,120.05787751726788,2.7512751347344797,1,0,2.2764618041732443,4,2.0,1.0,16,64,1.0,1.0,4.0,8.0,1,1,4.0,8.0,1.0,1.0,0,0,0,1,0,house,0,0,4,0,0,0,1,0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4116964,45.65921,-111.01598,0,2.0,110.0,1,73,4.86,0,4,3,1.0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,8,120.03879070194144,2.751395821337507,0,0,2.041392685158225,1,1.0,1.0,1,1,1.0,1.0,4.0,8.0,0,0,1.0,1.0,1.0,1.0,1,0,0,0,1,private_room,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
