bedrooms,beds,price,log_price,instant_bookable,bathrooms,wifi,hot tub,kitchen,tv,coffee,washer,dryer,backyard,pets allowed,workspace,pool,fire pit,bbq,ac,free parking,dishwasher,gym,self check-in,stove,view,patio,crib,total_amenities,rho,theta,downtown,long_stays_only,max_guests,bedroom_and_bath,baths_per_bedroom,max_guests_sq,bathrooms_sq,beds_sq,bedrooms_sq,bedroom_and_bath_sq,baths_per_bedroom_sq,listing_type_apt_max_guests,listing_type_guest_suite_max_guests,listing_type_house_max_guests,listing_type_private_room_max_guests,listing_type_apt,listing_type_guest_suite,listing_type_house,listing_type_private_room,listing_type_apt_bedrooms,listing_type_guest_suite_bedrooms,listing_type_house_bedrooms,listing_type_private_room_bedrooms,listing_type_apt_bathrooms,listing_type_guest_suite_bathrooms,listing_type_house_bathrooms,listing_type_private_room_bathrooms,listing_type_apt_ac,listing_type_guest_suite_ac,listing_type_house_ac,listing_type_private_room_ac,listing_type_apt_kitchen,listing_type_guest_suite_kitchen,listing_type_house_kitchen,listing_type_private_room_kitchen,listing_type_apt_pets allowed,listing_type_guest_suite_pets allowed,listing_type_house_pets allowed,listing_type_private_room_pets allowed,listing_type_apt_downtown,listing_type_guest_suite_downtown,listing_type_house_downtown,max_guests_sq,max_guests_cu,bathrooms_sq,bathrooms_cu,beds_sq,beds_cu,bedrooms_sq,bedrooms_cu,bedroom_and_bath_sq,bedroom_and_bath_cu,baths_per_bedroom_sq,baths_per_bedroom_cu,listing_type_private_room_downtown
3,4.0,350.0,2.5440680443502757,0,2.5,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,16,120.05500609017852,2.751444076353175,1,0,8,5.5,0.8333333333333334,64,6.25,16.0,9,30.25,0.6944444444444445,0,0,8,0,0,0,1,0,0,0,3,0,0.0,0.0,2.5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,64,512,6.25,15.625,16.0,64.0,9,27,30.25,166.375,0.6944444444444445,0.5787037037037038,0
3,4.0,275.0,2.439332693830263,1,2.0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,17,120.04483156190314,2.7513930138333778,1,0,6,5.0,0.6666666666666666,36,4.0,16.0,9,25.0,0.4444444444444444,0,0,6,0,0,0,1,0,0,0,3,0,0.0,0.0,2.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,36,216,4.0,8.0,16.0,64.0,9,27,25.0,125.0,0.4444444444444444,0.2962962962962963,0
2,2.0,146.0,2.164352855784437,0,1.0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,12,120.04216794585474,2.7514172103895063,0,1,4,3.0,0.5,16,1.0,4.0,4,9.0,0.25,0,0,4,0,0,0,1,0,0,0,2,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,64,1.0,1.0,4.0,8.0,4,8,9.0,27.0,0.25,0.125,0
2,3.0,249.0,2.3961993470957363,1,1.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,13,120.07372593899967,2.7513316892217015,1,0,5,3.0,0.5,25,1.0,9.0,4,9.0,0.25,0,0,5,0,0,0,1,0,0,0,2,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25,125,1.0,1.0,9.0,27.0,4,8,9.0,27.0,0.25,0.125,0
1,1.0,159.0,2.2013971243204513,0,1.0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,11,120.12567594758085,2.75149049931317,0,0,2,2.0,1.0,4,1.0,1.0,1,4.0,1.0,2,0,0,0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,8,1.0,1.0,1.0,1.0,1,1,4.0,8.0,1.0,1.0,0
1,2.0,196.0,2.292256071356476,0,1.0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,15,120.06721834295986,2.7514021525657983,1,0,3,2.0,1.0,9,1.0,4.0,1,4.0,1.0,0,3,0,0,0,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,9,27,1.0,1.0,4.0,8.0,1,1,4.0,8.0,1.0,1.0,0
3,3.0,800.0,2.9030899869919438,1,3.5,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,13,120.07148593525545,2.7512869570286678,1,0,6,6.5,1.1666666666666667,36,12.25,9.0,9,42.25,1.3611111111111114,0,0,6,0,0,0,1,0,0,0,3,0,0.0,0.0,3.5,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,36,216,12.25,42.875,9.0,27.0,9,27,42.25,274.625,1.3611111111111114,1.5879629629629635,0
4,5.0,548.0,2.738780558484369,1,3.5,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,14,120.06098930942237,2.7510387206136984,0,0,8,7.5,0.875,64,12.25,25.0,16,56.25,0.765625,0,0,8,0,0,0,1,0,0,0,4,0,0.0,0.0,3.5,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,64,512,12.25,42.875,25.0,125.0,16,64,56.25,421.875,0.765625,0.669921875,0
4,5.0,505.0,2.7032913781186614,0,2.5,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,13,120.10576128992687,2.751347959267805,0,0,8,6.5,0.625,64,6.25,25.0,16,42.25,0.390625,0,0,8,0,0,0,1,0,0,0,4,0,0.0,0.0,2.5,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,64,512,6.25,15.625,25.0,125.0,16,64,42.25,274.625,0.390625,0.244140625,0
4,5.0,334.0,2.5237464668115646,1,2.0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,10,120.07703493373579,2.751350949573461,1,0,10,6.0,0.5,100,4.0,25.0,16,36.0,0.25,0,0,10,0,0,0,1,0,0,0,4,0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,100,1000,4.0,8.0,25.0,125.0,16,64,36.0,216.0,0.25,0.125,0
4,4.0,480.0,2.681241237375587,1,2.5,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,11,120.06966028003994,2.7513404454044625,1,0,8,6.5,0.625,64,6.25,16.0,16,42.25,0.390625,0,0,8,0,0,0,1,0,0,0,4,0,0.0,0.0,2.5,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,64,512,6.25,15.625,16.0,64.0,16,64,42.25,274.625,0.390625,0.244140625,0
0,1.0,100.0,2.0,0,1.0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,7,120.10567652695228,2.751396734138734,0,0,2,1.0,1.0,4,1.0,1.0,0,1.0,1.0,0,0,0,2,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,8,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0
0,1.0,50.0,1.6989700043360187,0,1.0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,120.10807210742333,2.751505853004754,0,1,1,1.0,1.0,1,1.0,1.0,0,1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0
